"Data;Último;Var%";
"30.10.2007;64.383;-1,02%";
"30.10.2006;38.900;-1,09%";
"30.10.2003;18.094;0,83%";
"30.10.2002;10.069;4,87%";
"30.10.2001;11.024;-3,1%";
"30.10.2000;14.891;1,35%";
"30.10.1998;7.047;7,79%";
"30.10.1997;8.855;-9,81%";
"30.10.1996;6.543;-0,11%";
"30.10.1995;4.069;-1,74%";
"30.9.2022;110.037;2,2%";
"30.9.2021;110.979;-0,12%";
"30.9.2020;94.603;1,09%";
"30.9.2019;104.745;-0,32%";
"30.9.2016;58.367;0,03%";
"30.9.2015;45.059;2,1%";
"30.9.2014;54.116;-0,93%";
"30.9.2013;52.338;-2,61%";
"30.9.2011;52.324;-1,99%";
"30.9.2010;69.430;0,29%";
"30.9.2009;61.518;0,46%";
"30.9.2008;49.541;7,63%";
"30.9.2005;31.584;1,2%";
"30.9.2004;23.245;0,16%";
"30.9.2003;16.011;-0,61%";
"30.9.2002;8.623;-1,07%";
"30.9.1999;11.106;-2,87%";
"30.9.1998;6.593;-4,02%";
"30.9.1997;11.797;1,58%";
"30.9.1996;6.447;-0,19%";
"30.8.2023;117.535;-0,73%";
"30.8.2022;110.431;-1,68%";
"30.8.2021;119.740;-0,78%";
"30.8.2019;101.135;0,61%";
"30.8.2018;76.404;-2,53%";
"30.8.2017;70.886;-0,62%";
"30.8.2016;58.575;-0,06%";
"30.8.2013;50.012;0,18%";
"30.8.2012;57.256;-0,2%";
"30.8.2011;55.385;0,96%";
"30.8.2010;64.261;-2,02%";
"30.8.2007;52.858;0,23%";
"30.8.2006;36.313;0,02%";
"30.8.2005;27.604;0,8%";
"30.8.2004;22.869;1,2%";
"30.8.2002;10.382;-0,7%";
"30.8.2001;12.892;-1,41%";
"30.8.2000;17.414;0,34%";
"30.8.1999;10.524;-0,2%";
"30.8.1996;6.259;-0,18%";
"30.8.1995;4.236;-3,02%";
"30.7.2021;121.801;-3,08%";
"30.7.2020;105.009;-0,56%";
"30.7.2019;102.933;-0,53%";
"30.7.2018;80.276;0,51%";
"30.7.2015;49.897;-0,69%";
"30.7.2014;56.878;-0,42%";
"30.7.2013;48.562;-1,32%";
"30.7.2012;57.241;1,22%";
"30.7.2010;67.515;0,84%";
"30.7.2009;54.478;1,38%";
"30.7.2008;59.998;3,37%";
"30.7.2007;54.573;3,12%";
"30.7.2004;22.337;0,49%";
"30.7.2003;13.475;-1,09%";
"30.7.2002;9.342;1,1%";
"30.7.2001;13.704;-1,48%";
"30.7.1999;10.442;-1,19%";
"30.7.1998;10.939;3,77%";
"30.7.1997;13.019;-0,19%";
"30.7.1996;6.143;3,96%";
"30.6.2023;118.087;-0,25%";
"30.6.2022;98.542;-1,08%";
"30.6.2021;126.802;-0,41%";
"30.6.2020;95.056;-0,71%";
"30.6.2017;62.900;1,06%";
"30.6.2016;51.527;1,03%";
"30.6.2015;53.081;0,13%";
"30.6.2014;53.168;0,02%";
"30.6.2011;62.404;0,11%";
"30.6.2010;60.936;-1,68%";
"30.6.2009;51.465;-1,29%";
"30.6.2008;65.018;1,08%";
"30.6.2006;36.631;0,39%";
"30.6.2005;25.051;-0,3%";
"30.6.2004;21.149;1,67%";
"30.6.2003;12.973;-0,39%";
"30.6.2000;16.728;1,96%";
"30.6.1999;11.627;2,18%";
"30.6.1998;9.678;0,77%";
"30.6.1997;12.568;-1,48%";
"30.6.1995;3.603;-2,04%";
"30.5.2023;108.967;-1,24%";
"30.5.2022;111.032;-0,81%";
"30.5.2019;97.457;0,92%";
"30.5.2018;76.754;0,9%";
"30.5.2017;63.962;0,32%";
"30.5.2016;48.964;-0,18%";
"30.5.2014;51.239;-1,91%";
"30.5.2012;53.798;-1,53%";
"30.5.2011;63.954;-0,53%";
"30.5.2008;72.592;1,11%";
"30.5.2007;52.528;1,58%";
"30.5.2006;36.413;-4,54%";
"30.5.2005;25.424;0,67%";
"30.5.2003;13.422;0,13%";
"30.5.2001;14.489;0,24%";
"30.5.2000;15.249;3,22%";
"30.5.1997;11.345;0,39%";
"30.5.1996;5.688;1,1%";
"30.5.1995;3.707;-4,85%";
"30.4.2021;118.894;-0,98%";
"30.4.2020;80.506;-3,2%";
"30.4.2019;96.353;0,17%";
"30.4.2018;86.115;-0,38%";
"30.4.2015;56.229;1,63%";
"30.4.2014;51.627;-0,41%";
"30.4.2013;55.910;1,86%";
"30.4.2012;61.820;0,21%";
"30.4.2010;67.530;-0,66%";
"30.4.2009;47.290;0,13%";
"30.4.2008;67.868;6,33%";
"30.4.2007;48.956;-0,56%";
"30.4.2004;19.607;-1,3%";
"30.4.2003;12.557;-0,95%";
"30.4.2002;13.085;-0,04%";
"30.4.2001;14.918;-0,07%";
"30.4.1999;11.351;2,4%";
"30.4.1998;11.677;1,29%";
"30.4.1997;9.982;1,26%";
"30.4.1996;5.164;0,29%";
"30.3.2023;103.713;1,89%";
"30.3.2022;120.260;0,2%";
"30.3.2021;116.850;1,24%";
"30.3.2020;74.639;1,65%";
"30.3.2017;65.266;-0,4%";
"30.3.2016;51.249;0,18%";
"30.3.2015;51.243;2,29%";
"30.3.2012;64.511;-0,56%";
"30.3.2011;67.997;0,86%";
"30.3.2010;69.960;0,03%";
"30.3.2009;40.653;-2,99%";
"30.3.2007;45.805;0,99%";
"30.3.2006;37.777;0,76%";
"30.3.2005;26.470;2,43%";
"30.3.2004;22.043;2,38%";
"30.3.2001;14.438;1,09%";
"30.3.2000;17.647;-2,25%";
"30.3.1999;11.028;1,46%";
"30.3.1998;11.750;-1,26%";
"30.3.1995;3.126;-2,25%";
"30.1.2023;112.273;-0,04%";
"30.1.2020;115.528;0,12%";
"30.1.2019;96.996;1,42%";
"30.1.2018;84.482;-0,26%";
"30.1.2017;64.302;-2,62%";
"30.1.2015;46.908;-1,79%";
