Ano;Juros pago;Divida total;kd
2017;-1231;4712; 0,2612 
2018;-287;5572; 0,0515 
2019;-449;6775; 0,0663 
2020;-326;8553; 0,0381 
2021;-530;14362; 0,0369 
2022;-1142;17391; 0,0657 
2023;-1389;15518; 0,0895 
